llm,benchmark,noop_F1,sigma_R2,bridge_rate,RuleOPE_pct,DR_pct,MRDR_pct,SwitchDR_pct,MRDR_vs_RuleOPE_pct,MRDR_vs_DR_pct
qwen,nq,0.5875325385885757,0.10678101045386461,0.5726666666666667,30.998434776209226,30.998434776209226,63.59873499092743,30.998434776209226,24.88602269974507,32.6003002147182
qwencoder7b,hotpot,0.0715363188571494,0.013812365971488138,0.07501674480910918,12.954589969726072,12.954589969726072,6.492427780976073,12.954589969726072,-5.721026644850802,-6.462162188749999
qwencoder7b,trivia,0.15551281186025062,0.02337433326914521,0.11581291759465479,129.28086878326332,129.28086878326332,-40.90066039856297,129.28086878326332,-74.22404236556561,-170.18152918182628
qwencoder7b,nq,0.1366174603174603,0.02795530528260687,0.13933333333333334,50.350426713102834,50.350426713102834,37.8774589781258,50.350426713102834,-8.295931050982542,-12.472967734977033
internlm7b,hotpot,0.49461046345238735,0.05026032750455402,0.31279303415941057,358.6087448870392,358.6087448870392,-24.32300979790416,358.6087448870392,-83.49857235698026,-382.93175468494337
internlm7b,trivia,0.585356365979974,0.028771751292950946,0.1714922048997773,70.47013268694529,70.47013268694529,-28.21770625543415,70.47013268694529,-57.89157161249574,-98.68783894237944
internlm7b,nq,0.637256931353479,0.1039062193040629,0.5953333333333334,21.27630901369311,21.27630901369311,54.31318533370985,21.27630901369311,27.240997511135177,33.036876320016745
olmo7b,hotpot,0.111545500547197,0.005302698141934564,0.056932350971198926,7.9751351402692405,7.9751351402692405,7.181230042044495,7.9751351402692405,-0.7352665937332747,-0.7939050982247453
olmo7b,trivia,0.18051288335701457,0.010115961070021459,0.12397921306607275,87.58921773099846,87.58921773099846,-17.78978836881252,87.58921773099846,-56.17540676081059,-105.37900609981098
olmo7b,nq,0.1562748848189256,0.009717935151553503,0.11266666666666666,12.580103691947953,12.580103691947953,41.73815213305498,12.580103691947953,25.899823756506677,29.158048441107027
granite8b,hotpot,0.39404350708659996,0.051638439394249606,0.3154722036168788,291.5844969151802,291.5844969151802,-19.814783420203664,291.5844969151802,-79.52288274651357,-311.3992803353838
granite8b,trivia,0.5523329992562446,0.03149521537573196,0.18337045285820341,183.54514928723594,183.54514928723594,-37.65300682668754,183.54514928723594,-78.01161708107588,-221.1981561139235
granite8b,nq,0.5706075999824481,0.10088471779432992,0.5613333333333334,32.64289932518456,32.64289932518456,61.91727990251956,32.64289932518456,22.070069884077647,29.274380577335002
yi15,hotpot,0.42083799038751646,0.05077145739016361,0.31681178834561285,281.977243539133,281.977243539133,-20.59293528429884,281.977243539133,-79.21157187795505,-302.57017882343183
yi15,trivia,0.4311941617732264,0.03646895209949564,0.21900519673348182,251.3679171653269,251.3679171653269,-41.009153419326886,251.3679171653269,-83.21108908958341,-292.3770705846538
yi15,nq,0.627828740630154,0.11283217659443805,0.63,30.977633853249298,30.977633853249298,59.785511189372606,30.977633853249298,21.99450126607141,28.80787733612331
