bench,llm,N,mse_NonCompDR,mse_RuleOPE,ruleope_pct_vs_noncomp,ci90_lo,ci90_hi,significant
nq,granite8b,600,0.015824534306279482,0.016268037095297342,-6.4808459208934295,-14.363912220692498,2.0780428354518987,False
nq,granite8b,1200,0.013348254158949514,0.016161594588778867,-23.341899155433687,-29.756930680544112,-16.535543736125025,False
nq,internlm7b,150,0.02075453737535343,0.019323913238204204,10.840005920022522,-0.09500464754209625,24.044143526961403,False
nq,internlm7b,300,0.017751716956515715,0.017260169143806885,-2.027121364802309,-11.428777478093199,8.519452902438896,False
nq,internlm7b,600,0.01544185144649757,0.015856848942232066,-6.86389494353663,-15.296693043193887,2.587373031031537,False
nq,internlm7b,1200,0.0123400563037417,0.01581181122148986,-25.806456619442375,-31.563610056642865,-19.86071016010802,False
nq,mistral,150,0.01931223490748107,0.013183366981613901,55.031211710611586,39.32328086629704,73.5062372541837,True
nq,mistral,300,0.018928917648716303,0.012014944695040443,60.15343320108562,43.428598998210056,78.74175105006198,True
nq,mistral,600,0.01465107044651607,0.01114363374409726,25.702999430319238,15.050639378413377,37.09439998692867,True
nq,mistral,1200,0.013081841680491067,0.010506239870941627,16.302062503088187,5.738186290926173,27.220708504909386,True
nq,olmo7b,150,0.011897696869432615,0.010260862389706239,15.976546030424021,11.023277193360403,21.2341218788199,True
nq,olmo7b,300,0.011651328815908212,0.010561957916714628,9.702178645380721,5.807018968843147,13.765137788114522,True
nq,olmo7b,600,0.010961306141400833,0.010642026116978181,2.759846955397305,0.1569600366767343,5.562166463216456,True
nq,olmo7b,1200,0.010716128588701144,0.010686224998452731,0.054835353430693345,-1.8457607591465086,2.1279691061234507,False
nq,phi35,150,0.02100172941788604,0.016873966001467736,25.91653719992553,14.323502713796831,39.109032156214596,True
nq,phi35,300,0.01820421917693135,0.015683266788529115,8.468698109827354,-2.8149200616485848,21.488947642172683,False
nq,phi35,600,0.014703233624487307,0.01501372160924083,-6.9190842825011085,-15.179699550528458,2.4690264419503727,False
nq,phi35,1200,0.013031455323550142,0.015197905845480492,-18.595348606835728,-25.10441936007435,-12.046133613769438,False
nq,phi3mini,150,0.022181967325590288,0.019357994713240158,15.838384645501824,4.672175617149721,27.998132407607244,True
nq,phi3mini,300,0.01882946889370222,0.0176426885159373,2.5667064806844886,-6.515548520894853,12.869217904399456,False
nq,phi3mini,600,0.016452382141452494,0.01677297560245346,-5.758752745161733,-13.68319731617248,3.14130089661524,False
nq,phi3mini,1200,0.014488881620260302,0.017107185304337545,-20.721595630538136,-26.71405703014481,-14.204207973083982,False
nq,qwen,150,0.024339254444517216,0.01991232994890606,21.678649743150945,10.560726175260115,34.0909894060075,True
nq,qwen,300,0.02135020340243027,0.018214125949976727,10.340891022550247,-0.20541055864183866,22.117038538731748,False
nq,qwen,600,0.018215226733157303,0.017537489495234215,1.4395255744966917,-7.084377412181397,10.169419284805613,False
